Name	GR
YOR081C	0.346
YER163C	0.346
YPL003W	0.346
YMR087W	0.346
YGR012W	0.346
YPR044C	0.346
YJR052W	0.346
YLR064W	0.346
YPR002W	0.346
YIR024C	0.346
YGR111W	0.346
YGR212W	0.346
YIR027C	0.346
YKL026C	0.346
YCR082W	0.346
YKL198C	0.346
YMR122C	0.346
YFL052W	0.346
YGR224W	0.346
YOR109W	0.346
YJL153C	0.346
YPL067C	0.346
YCR048W	0.346
YNR027W	0.346
YDR035W	0.346
YOR147W	0.346
YGL218W	0.346
YBL069W	0.346
YPR123C	0.346
YOR041C	0.346
YLR137W	0.346
YPL057C	0.346
YBR043C	0.346
YOR053W	0.346
YOL011W	0.346
YCR047C	0.346
YPL257W	0.346
YDL234C	0.346
YJL118W	0.346
YGR122W	0.346
YOR101W	0.346
YMR092C	0.346
YNR074C	0.346
YEL017C-A	0.346
YOR190W	0.346
YEL064C	0.346
YJR001W	0.345
YCR102W-A	0.345
YDR043C	0.345
YMR251W	0.345
YMR210W	0.345
YKL115C	0.345
YBR224W	0.345
YGR165W	0.345
YER060W	0.345
YOR346W	0.345
YAR030C	0.345
YCL036W	0.345
YMR020W	0.345
YGL079W	0.345
YPL073C	0.345
YPL154C	0.345
YMR300C	0.345
YBR205W	0.345
YOR313C	0.345
YDR287W	0.345
YIR034C	0.345
YDL100C	0.345
YCL049C	0.345
YDR022C	0.345
YPL273W	0.345
YPL272C	0.345
YML120C	0.345
YLR011W	0.345
YJR043C	0.345
YBR131W	0.345
YLR211C	0.345
YLR124W	0.345
YJR051W	0.345
YIR037W	0.345
YOR367W	0.345
YJL092W	0.345
YJR005W	0.345
YGR146C	0.345
YOR164C	0.345
YPL050C	0.345
YOL079W	0.345
YNL123W	0.345
YOL020W	0.345
YOR213C	0.345
YPL216W	0.345
YBR042C	0.345
YOR228C	0.345
YOR042W	0.345
YDR186C	0.345
YLR044C	0.345
YKL064W	0.345
YCR095C	0.345
YPL001W	0.345
YBR112C	0.345
YOR248W	0.345
YEL018W	0.345
YIL085C	0.345
YLR360W	0.345
YDR261C	0.345
YDR383C	0.345
YFR026C	0.345
YGL028C	0.345
YML116W	0.345
YKL094W	0.345
YOR005C	0.345
YHR057C	0.345
YLR173W	0.345
YDL113C	0.345
YDR504C	0.345
YDL154W	0.345
YKL031W	0.345
YFL012W	0.345
YGR122C-A	0.345
YAR035W	0.345
YKL098W	0.345
YOR385W	0.345
YPR083W	0.345
YIR025W	0.345
YPL199C	0.345
YBR022W	0.345
YDL109C	0.345
YAL040C	0.345
YKR069W	0.345
YBL085W	0.345
YPL186C	0.345
YPR174C	0.345
YKL033W-A	0.345
YLR003C	0.345
YIL152W	0.345
YGR087C	0.345
YDL123W	0.345
YFL053W	0.345
YBR271W	0.345
YIL120W	0.344
YDR163W	0.344
YOR099W	0.344
YOR368W	0.344
YJL027C	0.344
YER129W	0.344
YBL063W	0.344
YMR221C	0.344
YDR058C	0.344
YGR104C	0.344
YLR028C	0.344
YPL208W	0.344
YOR334W	0.344
YDR209C	0.344
YOL024W	0.344
YDR372C	0.344
YGR101W	0.344
YOR379C	0.344
YMR127C	0.344
YOL063C	0.344
YNR022C	0.344
YDR181C	0.344
YLR414C	0.344
YPL247C	0.344
YNL083W	0.344
YOR344C	0.344
YGR096W	0.344
YFL055W	0.344
YJR095W	0.344
YJL206C	0.344
YPL177C	0.344
YJR034W	0.344
YDR501W	0.344
YOR124C	0.344
YKL050C	0.344
YOR072W	0.344
YOR226C	0.344
YJL149W	0.344
YDR399W	0.344
YIR002C	0.344
YBR188C	0.344
YNL200C	0.344
YOR071C	0.344
YHR139C-A	0.344
YPL114W	0.344
YNL022C	0.344
YDR286C	0.344
YGR161C	0.344
YOL015W	0.344
YPR196W	0.344
YBR286W	0.344
YHR151C	0.344
YER167W	0.344
YGL144C	0.344
YLR109W	0.344
YEL063C	0.344
YOL082W	0.344
YNL196C	0.344
YGL053W	0.344
YKL103C	0.344
YDR517W	0.344
YPR005C	0.344
YDR274C	0.344
YDR029W	0.344
YDR250C	0.344
YHR143W	0.344
YPR198W	0.344
YJL103C	0.344
YBL094C	0.344
YIR028W	0.344
YGR206W	0.344
YGL256W	0.344
YOR321W	0.344
YJR090C	0.344
YMR299C	0.344
YJL200C	0.344
YKL217W	0.344
YDL024C	0.344
YKL043W	0.344
YER059W	0.344
YMR086W	0.344
YOL018C	0.344
YGR011W	0.344
YPL147W	0.344
YIL071C	0.344
YIL136W	0.344
YIL119C	0.344
YNL285W	0.344
YPL077C	0.344
YOR383C	0.344
YOR225W	0.344
YOR220W	0.344
YMR106C	0.344
YPL141C	0.344
YDR217C	0.344
YKR051W	0.344
YBL064C	0.344
YDR329C	0.344
YDL204W	0.344
YDR348C	0.344
YPR007C	0.344
YEL020C	0.343
YNL027W	0.343
YLR333C	0.343
YDR387C	0.343
YDL013W	0.343
YNR057C	0.343
YKL096W	0.343
YIL058W	0.343
YPL166W	0.343
YLR416C	0.343
YOR055W	0.343
YBR228W	0.343
YFR021W	0.343
YKR059W	0.343
YIL094C	0.343
YOR339C	0.343
YGR149W	0.343
YKL011C	0.343
YOL084W	0.343
YDR031W	0.343
YDR297W	0.343
YDR295C	0.343
YBR274W	0.343
YMR181C	0.343
YIL092W	0.343
YKR077W	0.343
YMR244W	0.343
YOR180C	0.343
YHR195W	0.343
YLR176C	0.343
YNL269W	0.343
YPR170C	0.343
YNL063W	0.343
YJR098C	0.343
YNR036C	0.343
YOR121C	0.343
YMR009W	0.343
YLR239C	0.343
YDR294C	0.343
YOR192C	0.343
YGL234W	0.343
YBL028C	0.343
YCR079W	0.343
YIR042C	0.343
YDR357C	0.343
YGR051C	0.343
YDR033W	0.343
YKL029C	0.343
YOR111W	0.343
YOR347C	0.343
YOR324C	0.343
YDR435C	0.343
YKL055C	0.343
YBR204C	0.343
YBR287W	0.343
YPR001W	0.343
YNL328C	0.343
YKR017C	0.343
YLR058C	0.343
YMR304C-A	0.343
YDR192C	0.343
YJL099W	0.343
YBR194W	0.343
YNR024W	0.343
YOR280C	0.343
YJR091C	0.343
YJR004C	0.343
YML029W	0.343
YPR039W	0.343
YGL159W	0.343
YGR050C	0.343
YER062C	0.343
YKL077W	0.343
YFR017C	0.343
YEL062W	0.343
YOR097C	0.343
YER020W	0.343
YOL137W	0.343
YBR197C	0.343
YGL004C	0.343
YDR494W	0.343
YOR045W	0.343
YPL156C	0.343
YOR010C	0.343
YDR130C	0.343
YMR161W	0.343
YKL044W	0.343
YLR152C	0.343
YLR389C	0.343
YOL047C	0.343
YBR227C	0.343
YCR060W	0.343
YML123C	0.343
YIL064W	0.343
YNL201C	0.342
YJR102C	0.342
YMR085W	0.342
YKR003W	0.342
YJL116C	0.342
YAL018C	0.342
YDR312W	0.342
YER050C	0.342
YOR354C	0.342
YKL107W	0.342
YPR004C	0.342
YNL173C	0.342
YLR122C	0.342
YOR002W	0.342
YOR227W	0.342
YPL042C	0.342
YGR208W	0.342
YDR503C	0.342
YKL162C-A	0.342
YGR209C	0.342
YDR402C	0.342
YOR062C	0.342
YDR254W	0.342
YKR066C	0.342
YCR107W	0.342
YEL049W	0.342
YDR221W	0.342
YOR314W	0.342
YGL176C	0.342
YMR003W	0.342
YDR003W	0.342
YOL014W	0.342
YDR210W	0.342
YLR042C	0.342
YDR133C	0.342
YPL236C	0.342
YDL085W	0.342
YEL043W	0.342
YPL253C	0.342
YPR138C	0.342
YBR093C	0.342
YLR063W	0.342
